City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current description,Rain inches(last 3 hrs),Snow inches(last 3 hrs)
0,Albany,41.0,20.0,41.0,93,0,3.36,AL,2020-02-24 23:02:07,fog,0.0,0.0
1,Coquimbo,-29.95,-71.34,64.4,77,20,12.75,CL,2020-02-24 23:02:08,few clouds,0.0,0.0
2,Kenora,49.82,-94.43,30.2,68,20,3.36,CA,2020-02-24 23:02:08,few clouds,0.0,0.0
3,Chokurdakh,70.63,147.92,-21.86,93,18,7.47,RU,2020-02-24 23:02:08,few clouds,0.0,0.0
4,Jacareacanga,-6.22,-57.75,75.87,96,100,4.83,BR,2020-02-24 23:02:08,moderate rain,6.75,0.0
5,Georgetown,5.41,100.34,80.01,69,20,5.82,MY,2020-02-24 23:00:04,few clouds,0.0,0.0
6,Verkhoyansk,67.54,133.38,-18.98,90,69,3.04,RU,2020-02-24 23:02:09,broken clouds,0.0,0.0
7,Impfondo,1.64,18.07,80.01,68,93,3.89,CG,2020-02-24 23:02:09,overcast clouds,0.0,0.0
8,Louisbourg,40.27,-76.88,57.2,26,40,4.7,US,2020-02-24 22:57:36,scattered clouds,0.0,0.0
9,Luderitz,-26.65,15.16,62.6,88,3,4.7,NA,2020-02-24 23:02:10,clear sky,0.0,0.0
10,Mar Del Plata,-38.0,-57.56,69.8,73,75,12.75,AR,2020-02-24 22:58:32,thunderstorm,0.0,0.0
11,Tiksi,71.69,128.87,0.88,82,100,22.41,RU,2020-02-24 23:02:10,light snow,0.0,0.13
12,Lossiemouth,57.72,-3.28,39.2,98,100,2.24,GB,2020-02-24 23:01:59,light snow,0.0,0.0
13,Rikitea,-23.12,-134.97,80.02,64,21,5.53,PF,2020-02-24 23:02:10,few clouds,0.0,0.0
14,Busselton,-33.65,115.33,69.01,55,55,14.34,AU,2020-02-24 23:02:11,broken clouds,0.0,0.0
15,Jamestown,42.1,-79.24,48.2,52,90,4.7,US,2020-02-24 22:57:58,overcast clouds,0.0,0.0
16,Dikson,38.45,-121.82,75.2,15,1,17.22,US,2020-02-24 23:02:11,clear sky,0.0,0.0
17,Bluff,-46.6,168.33,61.3,72,100,4.05,NZ,2020-02-24 23:02:11,light rain,0.13,0.0
18,Punta Arenas,-53.15,-70.92,50.0,57,75,18.34,CL,2020-02-24 22:59:29,broken clouds,0.0,0.0
19,Half Moon Bay,37.46,-122.43,73.99,51,1,3.36,US,2020-02-24 23:02:12,clear sky,0.0,0.0
20,Lompoc,34.64,-120.46,77.0,23,1,10.29,US,2020-02-24 22:58:42,clear sky,0.0,0.0
21,Cidreira,-30.18,-50.21,75.74,82,15,26.28,BR,2020-02-24 22:59:03,few clouds,0.0,0.0
22,Pisco,-13.7,-76.22,78.01,30,31,23.04,PE,2020-02-24 23:02:12,scattered clouds,0.0,0.0
23,Mahebourg,-20.41,57.7,75.99,88,20,3.36,MU,2020-02-24 23:01:04,few clouds,0.0,0.0
24,Port Elizabeth,-33.92,25.57,62.6,88,0,4.7,ZA,2020-02-24 23:02:13,clear sky,0.0,0.0
25,Yulara,-25.24,130.99,77.0,31,59,6.93,AU,2020-02-24 23:02:13,broken clouds,0.0,0.0
26,Pevek,69.7,170.31,-21.23,93,0,6.46,RU,2020-02-24 23:02:13,clear sky,0.0,0.0
27,New Norfolk,-42.78,147.06,69.01,63,20,11.41,AU,2020-02-24 23:02:13,few clouds,0.0,0.0
28,Yellowknife,62.46,-114.35,-2.99,57,20,2.24,CA,2020-02-24 23:00:03,few clouds,0.0,0.0
29,Olafsvik,64.89,-23.71,32.31,64,100,8.08,IS,2020-02-24 23:02:14,light snow,0.0,0.31
30,Constitucion,25.04,-111.66,81.59,16,88,13.49,MX,2020-02-24 23:02:14,overcast clouds,0.0,0.0
31,Kruisfontein,-34.0,24.73,58.77,78,0,7.56,ZA,2020-02-24 23:02:14,clear sky,0.0,0.0
32,Marcona,-15.21,-75.11,72.88,75,75,10.04,PE,2020-02-24 23:02:14,broken clouds,0.0,0.0
33,Galgani,12.45,34.22,72.05,15,10,11.99,SD,2020-02-24 23:02:15,clear sky,0.0,0.0
34,Samarai,-10.62,150.67,86.56,62,95,5.5,PG,2020-02-24 23:02:15,overcast clouds,0.0,0.0
35,Puerto Ayora,-0.74,-90.35,86.0,62,20,16.11,EC,2020-02-24 23:02:15,few clouds,0.0,0.0
36,Praxedis Guerrero,31.37,-106.02,66.99,19,1,9.17,MX,2020-02-24 23:02:15,clear sky,0.0,0.0
37,Atuona,-9.8,-139.03,81.81,72,3,11.25,PF,2020-02-24 23:02:15,clear sky,0.0,0.0
38,Amalapuram,16.58,82.02,71.78,86,0,3.36,IN,2020-02-24 23:02:16,clear sky,0.0,0.0
39,Cherskiy,68.75,161.3,-18.72,85,69,4.21,RU,2020-02-24 23:02:16,broken clouds,0.0,0.0
40,Praia Da Vitoria,38.73,-27.07,59.0,93,20,4.54,PT,2020-02-24 23:02:16,few clouds,0.0,0.0
41,Port Lincoln,-34.73,135.87,68.07,67,1,9.37,AU,2020-02-24 23:02:16,clear sky,0.0,0.0
42,Broome,42.25,-75.83,51.8,60,1,3.22,US,2020-02-24 23:02:17,clear sky,0.0,0.0
43,Cayenne,4.93,-52.33,78.8,83,40,8.05,GF,2020-02-24 22:59:14,scattered clouds,0.0,0.0
44,Asau,46.43,26.4,34.0,79,0,2.24,RO,2020-02-24 23:02:17,clear sky,0.0,0.0
45,Chuy,-33.7,-53.46,70.07,81,0,11.63,UY,2020-02-24 23:02:17,clear sky,0.0,0.0
46,Mataura,-46.19,168.86,58.42,76,100,4.0,NZ,2020-02-24 23:02:17,overcast clouds,0.0,0.0
47,Tasiilaq,65.61,-37.64,12.2,47,95,5.82,GL,2020-02-24 23:02:18,overcast clouds,0.0,0.0
48,Fortuna,40.6,-124.16,62.01,66,1,12.75,US,2020-02-24 22:58:58,clear sky,0.0,0.0
49,Talnakh,69.49,88.4,15.8,92,100,33.55,RU,2020-02-24 23:02:18,light snow,0.0,0.31
50,Great Yarmouth,52.61,1.73,46.0,65,49,17.22,GB,2020-02-24 23:02:18,scattered clouds,0.0,0.0
51,Coxim,-18.51,-54.76,74.39,97,74,2.93,BR,2020-02-24 23:02:18,light rain,0.13,0.0
