City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
4,Jacareacanga,BR,75.87,moderate rain,-6.22,-57.75,Casa do Ian😎
5,Georgetown,MY,80.01,few clouds,5.41,100.34,Cititel Penang
7,Impfondo,CG,80.01,overcast clouds,1.64,18.07,Préfecture de la Likouala
13,Rikitea,PF,80.02,few clouds,-23.12,-134.97,Pension Maro'i
16,Dikson,US,75.2,clear sky,38.45,-121.82,Best Western Plus Dixon Davis
19,Half Moon Bay,US,73.99,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
20,Lompoc,US,77.0,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
21,Cidreira,BR,75.74,few clouds,-30.18,-50.21,Novomar Pousada e Turismo Ltda
22,Pisco,PE,78.01,scattered clouds,-13.7,-76.22,Hostal San Isidro Oficial
23,Mahebourg,MU,75.99,few clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
25,Yulara,AU,77.0,broken clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
30,Constitucion,MX,81.59,overcast clouds,25.04,-111.66,HOTEL PARAÍSO DEL VALLE
32,Marcona,PE,72.88,broken clouds,-15.21,-75.11,
33,Galgani,SD,72.05,clear sky,12.45,34.22,
34,Samarai,PG,86.56,overcast clouds,-10.62,150.67,Nuli Sapi
35,Puerto Ayora,EC,86.0,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
37,Atuona,PF,81.81,clear sky,-9.8,-139.03,Villa Enata
38,Amalapuram,IN,71.78,clear sky,16.58,82.02,swayamprabha service apartments
43,Cayenne,GF,78.8,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
45,Chuy,UY,70.07,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
51,Coxim,BR,74.39,light rain,-18.51,-54.76,Hotel Avenida
53,Bambous Virieux,MU,75.99,few clouds,-20.34,57.76,Casa Tia Villa
57,Tarakan,ID,77.18,scattered clouds,3.3,117.63,Hotel D' CaLia Tarakan
58,Maragogi,BR,82.31,scattered clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
59,Hithadhoo,MV,83.23,moderate rain,-0.6,73.08,Scoop Guest House
61,Guatire,VE,71.01,overcast clouds,10.48,-66.54,Parque Residencial Canaima I
65,Bagacay,PH,76.66,broken clouds,13.95,122.24,de Castro-Raposo Residence
68,Vaini,TO,86.0,few clouds,-21.2,-175.2,Keleti Beach Resort
69,Mazatlan,MX,80.6,broken clouds,23.22,-106.42,Ramada Resort Mazatlan
72,Bam,BF,75.58,overcast clouds,13.5,-1.67,
73,Bundaberg,AU,84.99,light rain,-24.85,152.35,Takalvan Motel
76,Conakry,GN,79.03,broken clouds,9.57,-13.65,Riviera Taouyah Hotel
79,Maceio,BR,80.6,scattered clouds,-9.67,-35.74,Mercure Maceió
82,Mainit,PH,77.0,overcast clouds,7.53,126.02,Junora Inland Resort
83,Port Macquarie,AU,80.01,broken clouds,-31.43,152.92,Rydges Port Macquarie
85,Touros,BR,82.4,scattered clouds,-5.2,-35.46,INN NEW HORIZON
95,Beboto,TD,73.9,clear sky,8.27,16.94,
96,Victoria,HK,70.0,few clouds,22.29,114.16,Mini Hotel Central
99,Avarua,CK,86.0,light rain,-21.21,-159.78,Paradise Inn
101,Padang,ID,70.11,clear sky,-0.95,100.35,Mercure Padang
102,Sao Joao Da Barra,BR,77.0,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
103,San Francisco,US,75.0,light rain,37.77,-122.42,The Clift Royal Sonesta Hotel
107,Arraial Do Cabo,BR,73.4,broken clouds,-22.97,-42.03,Pousada Porto Praia
109,Kahului,US,80.6,few clouds,20.89,-156.47,Maui Seaside Hotel
115,Saint George,SL,75.47,overcast clouds,8.48,-13.23,The Country Lodge Hotel
117,Benguela,AO,78.82,broken clouds,-12.58,13.41,Hotel Praia Morena
119,Hilo,US,82.4,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
123,Butaritari,KI,84.33,moderate rain,3.07,172.79,Isles Sunset Lodge
125,Isiolo,KE,74.03,overcast clouds,0.35,37.58,Gaddisa Hotel
126,Mogadishu,SO,81.63,overcast clouds,2.04,45.34,Hotel Juba
129,Santa Fe,AR,82.99,clear sky,-31.63,-60.7,Conquistador Hotel
130,Santa Lucia,BR,73.4,broken clouds,-19.77,-43.85,Pousada Chao Earth
133,Kudahuvadhoo,MV,82.85,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
140,Venado Tuerto,AR,73.0,clear sky,-33.75,-61.97,La Bianca.
141,Saint-Pierre,RE,78.8,clear sky,-21.34,55.48,Lindsey Hôtel
142,Trinidad,BO,82.4,broken clouds,-14.83,-64.9,Hotel Piesta
143,Puerto Quijarro,BO,75.22,clear sky,-17.78,-57.77,Hotel palance
144,Vao,NC,78.94,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
151,George Town,MY,80.01,few clouds,5.41,100.34,Cititel Penang
153,Huarmey,PE,76.89,broken clouds,-10.07,-78.15,Hotel Miramar
154,Ambilobe,MG,78.15,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
157,Kapaa,US,82.4,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
158,Tecoanapa,MX,81.57,clear sky,16.52,-98.75,Hotel Manglares
163,Kaitangata,NZ,71.01,overcast clouds,-46.28,169.85,Kaitangata Motor Camp
165,Bengkulu,ID,73.26,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
167,Ambon,ID,82.78,broken clouds,-3.7,128.18,Swiss-Belhotel Ambon
170,Wajir,KE,82.17,broken clouds,1.75,40.06,Wajir Palace Hotel
