City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Maxixe,MZ,2020-02-23 20:52:28,-23.86,35.35,78.39,80,100,29.24
1,Hof,DE,2020-02-23 20:52:29,50.32,11.92,51.8,93,90,21.92
2,Baykit,RU,2020-02-23 20:52:30,61.67,96.37,8.71,95,73,2.55
3,Kapaa,US,2020-02-23 20:51:55,22.08,-159.32,77.0,61,1,4.21
4,Hobyo,SO,2020-02-23 20:52:30,5.35,48.53,77.47,73,91,17.43
5,Broome,US,2020-02-23 20:52:31,42.25,-75.83,52.0,26,1,9.17
6,Nikolskoye,RU,2020-02-23 20:51:56,59.7,30.79,37.4,86,90,6.71
7,Husavik,IS,2020-02-23 20:52:31,66.04,-17.34,19.56,83,2,10.6
8,Goderich,CA,2020-02-23 20:52:32,43.75,-81.72,46.0,61,17,5.01
9,Mataura,NZ,2020-02-23 20:51:56,-46.19,168.86,57.99,85,77,5.99
10,Atuona,PF,2020-02-23 20:52:32,-9.8,-139.03,81.61,76,8,13.73
11,Rikitea,PF,2020-02-23 20:51:59,-23.12,-134.97,79.2,70,0,6.13
12,Vila Velha,BR,2020-02-23 20:52:32,-20.33,-40.29,77.0,69,90,14.99
13,Toamasina,MG,2020-02-23 20:51:57,-18.17,49.38,80.6,83,75,4.7
14,Codrington,AU,2020-02-23 20:52:33,-38.27,141.97,62.26,89,97,10.07
15,Yellowknife,CA,2020-02-23 20:50:43,62.46,-114.35,-4.0,63,20,6.93
16,Wagar,SD,2020-02-23 20:52:33,16.15,36.2,67.32,76,0,10.89
17,Avera,US,2020-02-23 20:52:33,33.19,-82.53,62.6,26,90,4.7
18,Busselton,AU,2020-02-23 20:47:48,-33.65,115.33,68.0,46,72,14.25
19,Ancud,CL,2020-02-23 20:52:34,-41.87,-73.82,60.8,59,75,16.11
20,Castro,BR,2020-02-23 20:50:10,-24.79,-50.01,67.93,78,90,2.66
21,Escarcega,MX,2020-02-23 20:52:34,18.61,-90.75,92.75,21,0,1.63
22,Sept-Iles,CA,2020-02-23 20:49:13,50.2,-66.38,33.01,86,75,6.93
23,Grand Gaube,MU,2020-02-23 20:52:35,-20.01,57.66,77.0,88,40,3.36
24,Albany,US,2020-02-23 20:52:04,42.6,-73.97,51.8,38,1,13.87
25,Kodiak,US,2020-02-23 20:51:52,57.79,-152.41,23.0,35,1,20.8
26,Vera Cruz,BR,2020-02-23 20:52:36,-12.63,-41.03,79.12,73,63,5.88
27,Buta,CD,2020-02-23 20:52:36,2.79,24.73,75.76,41,0,1.16
28,Dikson,RU,2020-02-23 20:51:58,73.51,80.55,28.47,92,100,27.6
29,Port Alfred,ZA,2020-02-23 20:52:01,-33.59,26.89,61.0,81,50,2.01
30,Khatanga,RU,2020-02-23 20:51:51,71.97,102.5,14.29,91,96,15.57
31,At-Bashi,KG,2020-02-23 20:52:37,41.17,75.81,8.6,74,100,6.24
32,Kaitangata,NZ,2020-02-23 20:52:37,-46.28,169.85,60.01,72,100,8.01
33,Fairbanks,US,2020-02-23 20:48:48,64.84,-147.72,0.0,83,40,3.36
